Global Size: 24708 byte                                                                                          Version 1.01 (Aug  6, 2014)
Object Version: 1
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
|    32 |     | MIDI                  | (External Set1 - Switch4) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  3|
|    33 |     | MIDI                  | (External Set1 - Switch4) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  3|
|    34 |     | MIDI                  | (External Set1 - Switch5) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  4|
|    35 |     | MIDI                  | (External Set1 - Switch5) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  4|
|    36 |     | MIDI                  | (External Set1 - Switch6) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  5|
|    37 |     | MIDI                  | (External Set1 - Switch6) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  5|
|    38 |     | MIDI                  | (External Set1 - Switch7) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  6|
|    39 |     | MIDI                  | (External Set1 - Switch7) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  6|
|    40 |     | MIDI                  | (External Set1 - Switch8) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  7|
|    41 |     | MIDI                  | (External Set1 - Switch8) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  7|
|    42 |     | MIDI                  | (External Set1 - Switch9) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 44|  0|
|    43 |     | MIDI                  | (External Set1 - Switch9) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 45|  0|
|    44 |     | MIDI                  | (External Set1 - Switch10) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  1|
|    45 |     | MIDI                  | (External Set1 - Switch10) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  1|
|    46 |     | MIDI                  | (External Set1 - Switch11) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  2|
|    47 |     | MIDI                  | (External Set1 - Switch11) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  2|
|    48 |     | MIDI                  | (External Set1 - Switch12) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  3|
|    49 |     | MIDI                  | (External Set1 - Switch12) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  3|
|    50 |     | MIDI                  | (External Set1 - Switch13) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  4|
|    51 |     | MIDI                  | (External Set1 - Switch13) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  4|
|    52 |     | MIDI                  | (External Set1 - Switch14) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  5|
|    53 |     | MIDI                  | (External Set1 - Switch14) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  5|
|    54 |     | MIDI                  | (External Set1 - Switch15) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  6|
|    55 |     | MIDI                  | (External Set1 - Switch15) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  6|
|    56 |     | MIDI                  | (External Set1 - Switch16) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  7|
|    57 |     | MIDI                  | (External Set1 - Switch16) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  7|
|    58 |     | MIDI                  | (External Set1 - Slider1) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  0|
|    59 |     | MIDI                  | (External Set1 - Slider1) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  0|
|    60 |     | MIDI                  | (External Set1 - Slider2) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  1|
|    61 |     | MIDI                  | (External Set1 - Slider2) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  1|
|    62 |     | MIDI                  | (External Set1 - Slider3) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  2|
|    63 |     | MIDI                  | (External Set1 - Slider3) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  2|
|    64 |     | MIDI                  | (External Set1 - Slider4) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  3|
|    65 |     | MIDI                  | (External Set1 - Slider4) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  3|
|    66 |     | MIDI                  | (External Set1 - Slider5) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  4|
|    67 |     | MIDI                  | (External Set1 - Slider5) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  4|
|    68 |     | MIDI                  | (External Set1 - Slider6) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  5|
|    69 |     | MIDI                  | (External Set1 - Slider6) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  5|
|    70 |     | MIDI                  | (External Set1 - Slider7) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  6|
|    71 |     | MIDI                  | (External Set1 - Slider7) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  6|
|    72 |     | MIDI                  | (External Set1 - Slider8) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  7|
|    73 |     | MIDI                  | (External Set1 - Slider8) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  7|
|    74 |     | MIDI                  | (External Set1 - SliderMaster) Channel     | 00~10        | 1~Gch              | 15|  0|  0| 46|  8|
|    75 |     | MIDI                  | (External Set1 - SliderMaster) CC# Assign  | FF~77        | Off~CC#119         | 15|  0|  0| 47|  8|
|    76 |     | MIDI                  | (External Set1 - Pad1) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|    77 |     | MIDI                  | (External Set1 - Pad1) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|    78 |     | MIDI                  | (External Set1 - Pad1) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|    79 |     |                       |                                            |              |                    |   |   |   |   |   |
|    80 |     | MIDI                  | (External Set1 - Pad2) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|    81 |     | MIDI                  | (External Set1 - Pad2) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|    82 |     | MIDI                  | (External Set1 - Pad2) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|    83 |     |                       |                                            |              |                    |   |   |   |   |   |
|    84 |     | MIDI                  | (External Set1 - Pad3) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|    85 |     | MIDI                  | (External Set1 - Pad3) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|    86 |     | MIDI                  | (External Set1 - Pad3) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|    87 |     |                       |                                            |              |                    |   |   |   |   |   |
|    88 |     | MIDI                  | (External Set1 - Pad4) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|    89 |     | MIDI                  | (External Set1 - Pad4) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|    90 |     | MIDI                  | (External Set1 - Pad4) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|    91 |     |                       |                                            |              |                    |   |   |   |   |   |
|    92 |     | MIDI                  | (External Set1 - Pad5) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|    93 |     | MIDI                  | (External Set1 - Pad5) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|    94 |     | MIDI                  | (External Set1 - Pad5) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|    95 |     |                       |                                            |              |                    |   |   |   |   |   |
|    96 |     | MIDI                  | (External Set1 - Pad6) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|    97 |     | MIDI                  | (External Set1 - Pad6) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|    98 |     | MIDI                  | (External Set1 - Pad6) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|    99 |     |                       |                                            |              |                    |   |   |   |   |   |
|   100 |     | MIDI                  | (External Set1 - Pad7) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   101 |     | MIDI                  | (External Set1 - Pad7) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   102 |     | MIDI                  | (External Set1 - Pad7) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
