00:No Effect


01:Stereo Dyna Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
|     | 7~3 | Side EQ Q                                        | 05~64        | 0.5~10.0               | 19  |
| 12  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Gain Adjust                                      | D9~18        | -Inf~+24               | 20  |
| 13  | 0   |                                                  |              |                        |     |
|     | 6~1 | Gain Adjust Mod.Source                           | 00~25        | Off~Tempo              | 21  |
|     | 7   | Gain Adjust Mod.Intensity                        | C1~3F        | -63~63                 | 22  |
| 14  | 5~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


04:Stereo Multiband Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | Crossover Slope                                  | 00~03        | 6dB/Oct~24dB/Oct       |  5  |
|     | 7   | Crossover Frequency 1-2                          | 02~0C        | 40~240                 |  6  |
|  4  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Crossover Frequency 2-3                          | 05~96        | 100~6.00k              |  7  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Crossover Frequency 3-4                          | 0046~0122    | 2.00k~16.0k            |  8  |
|  6  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Knee                                             | 00~4B        | 0~75                   |  9  |
|  7  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Output Gain                                      | DC~24        | -18.0~+18.0            | 10  |
|  8  | 1~0 |                                                  |              |                        |     |
|     | 2   | Band1 Solo                                       | 00~01        | Off~On                 | 11  |
|     | 3   | Band1 Bypass                                     | 00~01        | Off~On                 | 12  |
|     | 7~4 | Band1 Threshold                                  | FCE0~0000    | -80.0~0.0              | 13  |
|  9  | 6~0 |                                                  |              |                        |     |
|     | 7   | Band1 Gain                                       | FF4C~00B4    | -18.0~+18.0            | 14  |
| 10  |     |                                                  |              |                        |     |
| 11  |     | Band1 Range                                      | FF10~00B4    | -24.0~+18.0            | 15  |
| 12  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band1 Attack                                     | 0C~F0        | 0.60~500.0             | 16  |
| 13  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band1 Release                                    | 0005~0140    | 5~5000                 | 17  |
| 14  | 1~0 |                                                  |              |                        |     |
|     | 2   | Band2 Solo                                       | 00~01        | Off~On                 | 18  |
|     | 3   | Band2 Bypass                                     | 00~01        | Off~On                 | 19  |
|     | 7~4 | Band2 Threshold                                  | FCE0~0000    | -80.0~0.0              | 20  |
| 15  | 6~0 |                                                  |              |                        |     |
|     | 7   | Band2 Gain                                       | FF4C~00B4    | -18.0~+18.0            | 21  |
| 16  |     |                                                  |              |                        |     |
| 17  |     | Band2 Range                                      | FF10~00B4    | -24.0~+18.0            | 22  |
| 18  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band2 Attack                                     | 0C~F0        | 0.60~500.0             | 23  |
| 19  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band2 Release                                    | 0005~0140    | 5~5000                 | 24  |
| 20  | 1~0 |                                                  |              |                        |     |
|     | 2   | Band3 Solo                                       | 00~01        | Off~On                 | 25  |
|     | 3   | Band3 Bypass                                     | 00~01        | Off~On                 | 26  |
|     | 7~4 | Band3 Threshold                                  | FCE0~0000    | -80.0~0.0              | 27  |
| 21  | 6~0 |                                                  |              |                        |     |
|     | 7   | Band3 Gain                                       | FF4C~00B4    | -18.0~+18.0            | 28  |
| 22  |     |                                                  |              |                        |     |
| 23  |     | Band3 Range                                      | FF10~00B4    | -24.0~+18.0            | 29  |
| 24  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band3 Attack                                     | 0C~F0        | 0.60~500.0             | 30  |
| 25  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band3 Release                                    | 0005~0140    | 5~5000                 | 31  |
| 26  | 1~0 |                                                  |              |                        |     |
|     | 2   | Band4 Solo                                       | 00~01        | Off~On                 | 32  |
|     | 3   | Band4 Bypass                                     | 00~01        | Off~On                 | 33  |
|     | 7~4 | Band4 Threshold                                  | FCE0~0000    | -80.0~0.0              | 34  |
| 27  | 6~0 |                                                  |              |                        |     |
|     | 7   | Band4 Gain                                       | FF4C~00B4    | -18.0~+18.0            | 35  |
| 28  |     |                                                  |              |                        |     |
| 29  |     | Band4 Range                                      | FF10~00B4    | -24.0~+18.0            | 36  |
| 30  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band4 Attack                                     | 0C~F0        | 0.60~500.0             | 37  |
| 31  | 0   |                                                  |              |                        |     |
|     | 7~1 | Band4 Release                                    | 0005~0140    | 5~5000                 | 38  |
| 32  | 1~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


05:Stereo Limiter
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | Envelope Source                                  | 00~02        | Input~FX Control2      |  5  |
|     | 7   | Fx Control Trim                                  | 00~64        | 0~100                  |  6  |
|  4  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Envelope Select                                  | 00~03        | L/R Mix~L/R Stereo     |  7  |
|  5  |     | Ratio                                            | 00~83        | 1.0:1~Inf:1            |  8  |
|  6  | 6~0 | Threshold                                        | D8~00        | -40~0                  |  9  |
|     | 7   | Attack                                           | 01~64        | 1~100                  | 10  |
|  7  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Release                                          | 01~64        | 1~100                  | 11  |
|  8  | 4~0 |                                                  |              |                        |     |
|     | 5   | Side PEQ Insert                                  | 00~01        | Off~On                 | 12  |
|     | 6   | Trigger Monitor                                  | 00~01        | Off~On                 | 13  |
|     | 7   | Side PEQ Cutoff                                  | 01~C8        | 20~12.0k               | 14  |
|  9  | 6~0 |                                                  |              |                        |     |
|     | 7   | Side PEQ Q                                       | 00~5F        | 0.5~10.0               | 15  |
| 10  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Side PEQ Gain                                    | DC~24        | -18.0~+18.0            | 16  |
| 11  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Gain Adjust                                      | D9~18        | -Inf~+24               | 17  |
| 12  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Gain Adjust Mod.Source                           | 00~25        | Off~Tempo              | 18  |
| 13  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Gain Adjust Mod.Intensity                        | C1~3F        | -63~+63                | 19  |
| 14  | 0   |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


06:Multiband Limiter
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
