00:No Effect


01:Stereo Dyna Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
|  5  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | High Cut                                         | 00~65        | 53~Thru                |  8  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | Tube Pre Amp Gain                                | D0~30        | -24.0~+24.0            |  9  |
|  7  | 6~0 | Tube Saturation                                  | 00~64        | 0~100                  | 10  |
|     | 7   | Tube Bias                                        | 00~64        | 0~100                  | 11  |
|  8  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Output Level                                     | A0~00        | -48.0~0.0              | 12  |
|  9  | 5~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


39:Stereo Mic Modeling + PreAmp
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Mic Type                                         | 00~08        | Vintage Dynamic / 55SH~|  5  |
|  4  | 0   |                                                  |              |                        |     |
|     | 2~1 | Mic Position                                     | 00~03        | Close~Far              |  6  |
|     | 7~3 | Low Cut                                          | 00~68        | Thru~8.00k             |  7  |
|  5  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | High Cut                                         | 00~65        | 53~Thru                |  8  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | Tube Pre Amp Gain                                | D0~30        | -24.0~+24.0            |  9  |
|  7  | 6~0 | Tube Saturation                                  | 00~64        | 0~100                  | 10  |
|     | 7   | Tube Bias                                        | 00~64        | 0~100                  | 11  |
|  8  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Output Level                                     | A0~00        | -48.0~0.0              | 12  |
|  9  | 5~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


40:Stereo Chorus
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 9C~64        | -Wet~+Wet              |  1  |
|  1  | 0   |                                                  |              |                        |     |
|     | 6~1 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7   | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 6~0 |                                                  |              |                        |     |
|     | 7   | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 5~0 |                                                  |              |                        |     |
|     | 6   | LFO Waveform                                     | 00~01        | Triangle~Sine          |  5  |
|     | 7   | Right LFO Phase                                  | EE~12        | -180~+180              |  6  |
|  4  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | LFO Type                                         | 00~02        | Individual~Effect LFO2 |  7  |
|     | 7   | Common LFO Phase Offset                          | EE~12        | -180~+180              |  8  |
|  5  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO Frequency                                    | 01~E6        | 0.02~20.00             |  9  |
|  6  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO Frequency Mod.Source                         | 00~25        | Off~Tempo              | 10  |
|  7  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | LFO Frequency Mod.Intensity                      | 8D~73        | -20.00~+20.00          | 11  |
|  8  | 2~0 |                                                  |              |                        |     |
|     | 3   | LFO BPM/MIDI Sync                                | 00~01        | Off~On                 | 12  |
|     | 7~4 | LFO BPM                                          | 0F9F~7530    | MIDI~300.00            | 13  |
|  9  |     |                                                  |              |                        |     |
| 10  | 2~0 |                                                  |              |                        |     |
|     | 6~3 | LFO BPM Base Note                                | 00~09        | 1/32~1/1               | 14  |
|     | 7   | LFO BPM Times                                    | 01~20        | 1~32                   | 15  |
| 11  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Left Pre Delay                                   | 00~8C        | 0.0~50                 | 16  |
| 12  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Right Pre Delay                                  | 00~8C        | 0.0~50                 | 17  |
| 13  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Depth                                            | 00~64        | 0~100                  | 18  |
| 14  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Depth Mod.Source                                 | 00~25        | Off~Tempo              | 19  |
| 15  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Depth Mod.Intensity                              | 9C~64        | -100~+100              | 20  |
| 16  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Pre Low EQ Gain                                  | E2~1E        | -15.0~+15.0            | 21  |
| 17  | 5~0 | Pre High EQ Gain                                 | E2~1E        | -15.0~+15.0            | 22  |
|     | 6   | Pre Low EQ Fc                                    | 00~01        | Low~Mid-Low            | 23  |
|     | 7   | Pre High EQ Fc                                   | 00~01        | High~Mid-High          | 24  |
+=====+=====+==================================================+==============+========================+=====+


41:Stereo Harmonic Chorus
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | LFO Type                                         | 00~02        | Individual~Effect LFO2 |  5  |
|     | 7   | LFO Waveform                                     | 00~01        | Triangle~Sine          |  6  |
|  4  | 5~0 | Common LFO Phase Offset                          | EE~12        | -180~+180              |  7  |
|     | 7~6 | Right LFO Phase                                  | EE~12        | -180~+180              |  8  |
|  5  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | LFO Frequency                                    | 01~E6        | 0.02~20.00             |  9  |
|  6  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | LFO Frequency Mod.Source                         | 00~25        | Off~Tempo              | 10  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | LFO Frequency Mod.Intensity                      | 8D~73        | -20.00~+20.00          | 11  |
|  8  | 1~0 |                                                  |              |                        |     |
|     | 2   | LFO BPM/MIDI Sync                                | 00~01        | Off~On                 | 12  |
|     | 7~3 | LFO BPM                                          | 0F9F~7530    | MIDI~300.00            | 13  |
|  9  |     |                                                  |              |                        |     |
| 10  | 1~0 |                                                  |              |                        |     |
|     | 5~2 | LFO BPM Base Note                                | 00~09        | 1/32~1/1               | 14  |
|     | 7~6 | LFO BPM Times                                    | 01~20        | 1~32                   | 15  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Pre Delay                                        | 00~8C        | 0.0~50                 | 16  |
| 12  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Depth                                            | 00~64        | 0~100                  | 17  |
| 13  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Depth Mod.Source                                 | 00~25        | Off~Tempo              | 18  |
| 14  | 0   |                                                  |              |                        |     |
|     | 7~1 | Depth Mod.Intensity                              | 9C~64        | -100~+100              | 19  |
| 15  | 0   |                                                  |              |                        |     |
|     | 7~1 | High/Low Split Point                             | 01~64        | 1~100                  | 20  |
| 16  |     | Feedback                                         | 9C~64        | -100~+100              | 21  |
| 17  | 6~0 | High Damp                                        | 00~64        | 0~100                  | 22  |
|     | 7   | Low Level                                        | 00~64        | 0~100                  | 23  |
| 18  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | High Level                                       | 00~64        | 0~100                  | 24  |
| 19  | 4~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


42:Stereo Bi-phase Modulation
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 9C~64        | -Wet~+Wet              |  1  |
|  1  | 0   |                                                  |              |                        |     |
|     | 6~1 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7   | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 6~0 |                                                  |              |                        |     |
|     | 7   | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | LFO1 Type                                        | 00~02        | Individual~Effect LFO2 |  5  |
|  4  | 5~0 | Common LFO1 Phase Offset                         | EE~12        | -180~+180              |  6  |
|     | 7~6 | LFO2 Type                                        | 00~02        | Individual~Effect LFO2 |  7  |
|  5  | 5~0 | Common LFO2 Phase Offset                         | EE~12        | -180~+180              |  8  |
|     | 6   | LFO1 Waveform                                    | 00~01        | Triangle~Sine          |  9  |
|     | 7   | LFO2 Waveform                                    | 00~01        | Triangle~Sine          | 10  |
|  6  | 0   | LFO Phase Switch                                 | 00~01        | 0 degree~180 degree    | 11  |
|     | 7~1 | LFO1 Frequency                                   | 01~FA        | 0.02~30.00             | 12  |
|  7  | 0   |                                                  |              |                        |     |
|     | 6~1 | LFO Frequency Mod.Source                         | 00~25        | Off~Tempo              | 13  |
|     | 7   | LFO1 Frequency Mod.Intensity                     | 83~7D        | -30.00~+30.00          | 14  |
|  8  | 6~0 |                                                  |              |                        |     |
|     | 7   | LFO2 Frequency                                   | 01~FA        | 0.02~30.00             | 15  |
|  9  | 6~0 |                                                  |              |                        |     |
|     | 7   | LFO2 Frequency Mod.Intensity                     | 83~7D        | -30.00~+30.00          | 16  |
| 10  | 6~0 |                                                  |              |                        |     |
|     | 7   | LFO1 Depth                                       | 00~64        | 0~100                  | 17  |
| 11  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | LFO Depth Mod.Source                             | 00~25        | Off~Tempo              | 18  |
| 12  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | LFO1 Mod.Intensity                               | 9C~64        | -100~+100              | 19  |
| 13  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | LFO2 Depth                                       | 00~64        | 0~100                  | 20  |
| 14  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | LFO2 Depth Mod.Intensity                         | 9C~64        | -100~+100              | 21  |
| 15  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | L Pre Delay                                      | 00~8C        | 0.0~50                 | 22  |
| 16  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | R Pre Delay                                      | 00~8C        | 0.0~50                 | 23  |
| 17  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Feedback                                         | 9C~64        | -100~+100              | 24  |
| 18  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | High Damp                                        | 00~64        | 0~100                  | 25  |
| 19  | 1~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


43:Multitap Chorus/Delay 4Taps
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | LFO Type                                         | 00~02        | Individual~Effect LFO2 |  5  |
|     | 7   | Common LFO Phase Offset                          | EE~12        | -180~+180              |  6  |
|  4  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO Frequency                                    | 01~3F        | 0.02~13.00             |  7  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Tap1 Time                                        | 00~BE        | 0~1000                 |  8  |
|  6  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Tap1 Depth                                       | 00~1E        | 0~30                   |  9  |
|  7  | 4~0 | Tap1 Level                                       | 00~1E        | 0~30                   | 10  |
|     | 7~5 | Tap1 Pan                                         | FA~06        | L6~R6                  | 11  |
|  8  | 0   |                                                  |              |                        |     |
|     | 7~1 | Tap2 Time                                        | 00~BE        | 0~1000                 | 12  |
|  9  | 0   |                                                  |              |                        |     |
|     | 5~1 | Tap2 Depth                                       | 00~1E        | 0~30                   | 13  |
|     | 7~6 | Tap2 Level                                       | 00~1E        | 0~30                   | 14  |
| 10  | 2~0 |                                                  |              |                        |     |
|     | 6~3 | Tap2 Pan                                         | FA~06        | L6~R6                  | 15  |
|     | 7   | Tap3 Time                                        | 00~BE        | 0~1000                 | 16  |
| 11  | 6~0 |                                                  |              |                        |     |
|     | 7   | Tap3 Depth                                       | 00~1E        | 0~30                   | 17  |
| 12  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Tap3 Level                                       | 00~1E        | 0~30                   | 18  |
| 13  | 0   |                                                  |              |                        |     |
|     | 4~1 | Tap3 Pan                                         | FA~06        | L6~R6                  | 19  |
|     | 7~5 | Tap4 Time                                        | 00~BE        | 0~1000                 | 20  |
| 14  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Tap4 Depth                                       | 00~1E        | 0~30                   | 21  |
| 15  | 1~0 |                                                  |              |                        |     |
|     | 6~2 | Tap4 Level                                       | 00~1E        | 0~30                   | 22  |
|     | 7   | Tap4 Pan                                         | FA~06        | L6~R6                  | 23  |
| 16  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Tap1 Feedback                                    | 9C~64        | -100~100               | 24  |
| 17  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Tap1 Feedback Mod.Source                         | 00~25        | Off~Tempo              | 25  |
| 18  | 0   |                                                  |              |                        |     |
|     | 7~1 | Tap1 Feedback Mod.Intensity                      | 9C~64        | -100~+100              | 26  |
| 19  | 0   |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


44:Multitap Chorus/Delay 6Taps
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO Frequency                                    | 01~3F        | 0.02~13.00             |  5  |
|  4  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Tap1 Time                                        | 0000~0122    | 0~2000                 |  6  |
|  5  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Tap1 Depth                                       | 00~1E        | 0~30                   |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 2~1 | Tap1 Status                                      | 00~03        | Always On~Off->On(dm)  |  8  |
|     | 7~3 | Tap2 Time                                        | 0000~0122    | 0~2000                 |  9  |
|  7  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Tap2 Depth                                       | 00~1E        | 0~30                   | 10  |
|  8  | 0   |                                                  |              |                        |     |
|     | 2~1 | Tap2 Status                                      | 00~03        | Always On~Off->On(dm)  | 11  |
|     | 7~3 | Tap3 Time                                        | 0000~0122    | 0~2000                 | 12  |
|  9  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Tap3 Depth                                       | 00~1E        | 0~30                   | 13  |
| 10  | 0   |                                                  |              |                        |     |
|     | 2~1 | Tap3 Status                                      | 00~03        | Always On~Off->On(dm)  | 14  |
|     | 7~3 | Tap4 Time                                        | 0000~0122    | 0~2000                 | 15  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Tap4 Depth                                       | 00~1E        | 0~30                   | 16  |
| 12  | 0   |                                                  |              |                        |     |
|     | 2~1 | Tap4 Status                                      | 00~03        | Always On~Off->On(dm)  | 17  |
|     | 7~3 | Tap5 Time                                        | 0000~0122    | 0~2000                 | 18  |
| 13  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Tap5 Depth                                       | 00~1E        | 0~30                   | 19  |
| 14  | 0   |                                                  |              |                        |     |
|     | 2~1 | Tap5 Status                                      | 00~03        | Always On~Off->On(dm)  | 20  |
|     | 7~3 | Tap6 Time                                        | 0000~0122    | 0~2000                 | 21  |
| 15  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Tap6 Depth                                       | 00~1E        | 0~30                   | 22  |
| 16  | 0   |                                                  |              |                        |     |
|     | 2~1 | Tap6 Status                                      | 00~03        | Always On~Off->On(dm)  | 23  |
|     | 4~3 | Panning Preset                                   | 00~03        | 1 : L 1 2 3 4 5 6 R~4 :| 24  |
|     | 7~5 | Tap1 Feedback                                    | 9C~64        | -100~+100              | 25  |
| 17  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Tap1 Feedback Mod.Source                         | 00~25        | Off~Tempo              | 26  |
| 18  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Tap1 Feedback Mod.Intensity                      | 9C~64        | -100~+100              | 27  |
| 19  | 2~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


45:Bi Chorus
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 9C~64        | -Wet~+Wet              |  1  |
|  1  | 0   |                                                  |              |                        |     |
|     | 6~1 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7   | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 6~0 |                                                  |              |                        |     |
|     | 7   | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 5~0 |                                                  |              |                        |     |
|     | 6   | Mode                                             | 00~01        | Dual~Serial            |  5  |
|     | 7   | LFO1 Frequency                                   | 01~E6        | 0.02~20.00             |  6  |
|  4  | 6~0 |                                                  |              |                        |     |
|     | 7   | LFO Frequency Mod.Source                         | 00~25        | Off~Tempo              |  7  |
|  5  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO1 Frequency Mod.Intensity                     | 8D~73        | -20.00~+20.00          |  8  |
|  6  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO1 Manual                                      | 00~64        | 0~100                  |  9  |
|  7  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | LFO1 Depth                                       | 00~64        | 0~100                  | 10  |
|  8  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | LFO Depth Mod.Source                             | 00~25        | Off~Tempo              | 11  |
|  9  | 0   |                                                  |              |                        |     |
|     | 7~1 | LFO1 Depth Mod.Intensity                         | 9C~64        | -100~+100              | 12  |
| 10  | 0   |                                                  |              |                        |     |
|     | 7~1 | LFO1 Feedback                                    | 00~64        | 0~100                  | 13  |
| 11  | 1~0 | LFO1/2 Phase Lock                                | 00~03        | Unlock~Lock-Common2    | 14  |
|     | 7~2 | Phase Offset                                     | EE~12        | -180~+180              | 15  |
| 12  |     | LFO2 Frequency                                   | 01~E6        | 0.02~20.00             | 16  |
| 13  |     | LFO2 Frequency Mod.Intensity                     | 8D~73        | -20.00~+20.00          | 17  |
| 14  | 6~0 | LFO2 Manual                                      | 00~64        | 0~100                  | 18  |
|     | 7   | LFO2 Depth                                       | 00~64        | 0~100                  | 19  |
| 15  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | LFO2 Depth Mod.Intensity                         | 9C~64        | -100~+100              | 20  |
| 16  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | LFO2 Feedback                                    | 00~64        | 0~100                  | 21  |
| 17  | 4~0 |                                                  |              |                        |     |
|     | 5   | BPM/MIDISync                                     | 00~01        | Off~On                 | 22  |
|     | 7~6 | BPM                                              | 0F9F~7530    | MIDI~300.00            | 23  |
| 18  |     |                                                  |              |                        |     |
| 19  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO1 BPM Base Note                               | 00~09        | 1/32~1/1               | 24  |
| 20  | 0   |                                                  |              |                        |     |
|     | 6~1 | LFO1 BPM Times                                   | 01~20        | 1~32                   | 25  |
|     | 7   | LFO2 BPM Base Note                               | 00~09        | 1/32~1/1               | 26  |
| 21  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | LFO2 BPM Times                                   | 01~20        | 1~32                   | 27  |
| 22  | 0   |                                                  |              |                        |     |
|     | 7~1 | Output Level1                                    | 00~64        | 0~100                  | 28  |
| 23  | 6~0 | Output Level2                                    | 00~64        | 0~100                  | 29  |
|     | 7   | Output Mode                                      | 00~01        | Mono~Stereo            | 30  |
+=====+=====+==================================================+==============+========================+=====+


46:Ensemble
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Speed                                            | 01~64        | 1~100                  |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Speed Mod.Source                                 | 00~25        | Off~Tempo              |  6  |
|  5  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Speed Mod.Intensity                              | 9C~64        | -100~+100              |  7  |
|  6  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Depth                                            | 00~64        | 0~100                  |  8  |
|  7  | 0   |                                                  |              |                        |     |
|     | 6~1 | Depth Mod.Source                                 | 00~25        | Off~Tempo              |  9  |
|     | 7   | Depth Mod.Intensity                              | 9C~64        | -100~+100              | 10  |
|  8  | 6~0 |                                                  |              |                        |     |
|     | 7   | Shimmer                                          | 00~64        | 0~100                  | 11  |
|  9  | 5~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


47:Polysix Ensemble
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Depth                                            | 00~64        | 0~100                  |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Depth Mod.Source                                 | 00~25        | Off~Tempo              |  6  |
|  5  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Depth Mod.Intensity                              | 9C~64        | -100~+100              |  7  |
|  6  | 1~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


48:Stereo Flanger
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 9C~64        | -Wet~+Wet              |  1  |
|  1  | 0   |                                                  |              |                        |     |
|     | 6~1 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7   | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 6~0 |                                                  |              |                        |     |
|     | 7   | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Delay Time                                       | 00~8C        | 0.0~50                 |  5  |
|  4  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | LFO Type                                         | 00~02        | Individual~Effect LFO2 |  6  |
|  5  | 5~0 | Common LFO Phase Offset                          | EE~12        | -180~+180              |  7  |
|     | 6   | LFO Waveform                                     | 00~01        | Triangle~Sine          |  8  |
|     | 7   | LFO Shape                                        | 9C~64        | -100~+100              |  9  |
|  6  | 6~0 |                                                  |              |                        |     |
|     | 7   | LFO Phase                                        | EE~12        | -180~+180              | 10  |
|  7  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO Frequency                                    | 01~E6        | 0.02~20.00             | 11  |
|  8  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO Frequency Mod.Source                         | 00~25        | Off~Tempo              | 12  |
|  9  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | LFO Frequency Mod.Intensity                      | 8D~73        | -20.00~+20.00          | 13  |
| 10  | 2~0 |                                                  |              |                        |     |
|     | 3   | LFO BPM/MIDI Sync                                | 00~01        | Off~On                 | 14  |
|     | 7~4 | LFO BPM                                          | 0F9F~7530    | MIDI~300.00            | 15  |
| 11  |     |                                                  |              |                        |     |
| 12  | 2~0 |                                                  |              |                        |     |
|     | 6~3 | LFO BPM Base Note                                | 00~09        | 1/32~1/1               | 16  |
|     | 7   | LFO BPM Times                                    | 01~20        | 1~32                   | 17  |
| 13  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Depth                                            | 00~64        | 0~100                  | 18  |
| 14  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Feedback                                         | 9C~64        | -100~+100              | 19  |
| 15  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | High Damp                                        | 00~64        | 0~100                  | 20  |
| 16  | 2~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


49:Stereo Random Flanger
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
