Song Control Size: 5264 byte
Object Version: 0
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
|    67 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    68 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    69 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    70 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    71 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    72 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    73 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    74 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    75 |     | MIDI Track 02         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    76 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|    77 | 5   | MIDI Track 02         | Mute                                       | 00~01        | Off~On             |  4|  1|  0| 14|  0|
|       | 6   | MIDI Track 02         | Intro                                      | 00~01        | Off~On             |   |   |   |   |   |
|       | 7   | MIDI Track 02         | Loop                                       | 00~01        | Off~On             |   |   |   |   |   |
|    78 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|    79 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|    80 |     | MIDI Track 02         | Loop Start Measure                         | 000~~3E7     | 0~999              |   |   |   |   |   |
|    81 |     |                       |                                            |              |                    |   |   |   |   |   |
|    82 |     | MIDI Track 02         | Loop End Measure                           | 000~~3E7     | 0~999              |   |   |   |   |   |
|    83 |     |                       |                                            |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|    84 |     | MIDI Track 03         | Event Offset                               | 000000~249EF8| 0~2399992          |   |   |   |   |   |
|    85 |     |                       |                                            |              |                    |   |   |   |   |   |
|    86 |     |                       |                                            |              |                    |   |   |   |   |   |
|    87 |     |                       |                                            |              |                    |   |   |   |   |   |
|    88 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    89 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    90 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    91 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    92 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    93 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    94 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    95 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    96 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    97 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    98 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    99 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   100 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   101 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   102 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   103 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   104 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   105 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   106 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   107 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   108 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   109 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   110 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   111 |     | MIDI Track 03         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   112 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   113 | 5   | MIDI Track 03         | Mute                                       | 00~01        | Off~On             |  4|  2|  0| 14|  0|
|       | 6   | MIDI Track 03         | Intro                                      | 00~01        | Off~On             |   |   |   |   |   |
|       | 7   | MIDI Track 03         | Loop                                       | 00~01        | Off~On             |   |   |   |   |   |
|   114 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   115 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   116 |     | MIDI Track 03         | Loop Start Measure                         | 000~~3E7     | 0~999              |   |   |   |   |   |
|   117 |     |                       |                                            |              |                    |   |   |   |   |   |
|   118 |     | MIDI Track 03         | Loop End Measure                           | 000~~3E7     | 0~999              |   |   |   |   |   |
|   119 |     |                       |                                            |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|   120 |     | MIDI Track 04         | Event Offset                               | 000000~249EF8| 0~2399992          |   |   |   |   |   |
|   121 |     |                       |                                            |              |                    |   |   |   |   |   |
|   122 |     |                       |                                            |              |                    |   |   |   |   |   |
|   123 |     |                       |                                            |              |                    |   |   |   |   |   |
|   124 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   125 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   126 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   127 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   128 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   129 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   130 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   131 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   132 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   133 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   134 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   135 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   136 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   137 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   138 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   139 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   140 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   141 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   142 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   143 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   144 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   145 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   146 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   147 |     | MIDI Track 04         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   148 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   149 | 5   | MIDI Track 04         | Mute                                       | 00~01        | Off~On             |  4|  3|  0| 14|  0|
|       | 6   | MIDI Track 04         | Intro                                      | 00~01        | Off~On             |   |   |   |   |   |
|       | 7   | MIDI Track 04         | Loop                                       | 00~01        | Off~On             |   |   |   |   |   |
|   150 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   151 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   152 |     | MIDI Track 04         | Loop Start Measure                         | 000~~3E7     | 0~999              |   |   |   |   |   |
|   153 |     |                       |                                            |              |                    |   |   |   |   |   |
|   154 |     | MIDI Track 04         | Loop End Measure                           | 000~~3E7     | 0~999              |   |   |   |   |   |
|   155 |     |                       |                                            |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|   156 |     | MIDI Track 05         | Event Offset                               | 000000~249EF8| 0~2399992          |   |   |   |   |   |
|   157 |     |                       |                                            |              |                    |   |   |   |   |   |
|   158 |     |                       |                                            |              |                    |   |   |   |   |   |
|   159 |     |                       |                                            |              |                    |   |   |   |   |   |
|   160 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   161 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   162 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   163 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   164 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   165 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   166 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   167 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   168 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   169 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   170 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   171 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   172 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   173 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   174 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   175 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   176 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   177 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   178 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   179 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   180 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   181 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   182 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   183 |     | MIDI Track 05         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   184 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   185 | 5   | MIDI Track 05         | Mute                                       | 00~01        | Off~On             |  4|  4|  0| 14|  0|
|       | 6   | MIDI Track 05         | Intro                                      | 00~01        | Off~On             |   |   |   |   |   |
