0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~4 | [Step Sequence] Step Duration7                      | 00~09        | 1/32~1/1           |11/12| 15|  0| 11|  6|
|  292 | 3~0 | [Step Sequence] Step Duration8                      | 00~09        | 1/32~1/1           |11/12| 15|  0| 11|  7|
|      | 7~4 | [Step Sequence] Step Duration9                      | 00~09        | 1/32~1/1           |11/12| 15|  0| 11|  8|
|  293 | 3~0 | [Step Sequence] Step Duration10                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11|  9|
|      | 7~4 | [Step Sequence] Step Duration11                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 10|
|  294 | 3~0 | [Step Sequence] Step Duration12                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 11|
|      | 7~4 | [Step Sequence] Step Duration13                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 12|
|  295 | 3~0 | [Step Sequence] Step Duration14                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 13|
|      | 7~4 | [Step Sequence] Step Duration15                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 14|
|  296 | 3~0 | [Step Sequence] Step Duration16                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 15|
|      | 7~4 | [Step Sequence] Step Duration17                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 16|
|  297 | 3~0 | [Step Sequence] Step Duration18                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 17|
|      | 7~4 | [Step Sequence] Step Duration19                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 18|
|  298 | 3~0 | [Step Sequence] Step Duration20                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 19|
|      | 7~4 | [Step Sequence] Step Duration21                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 20|
|  299 | 3~0 | [Step Sequence] Step Duration22                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 21|
|      | 7~4 | [Step Sequence] Step Duration23                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 22|
|  300 | 3~0 | [Step Sequence] Step Duration24                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 23|
|      | 7~4 | [Step Sequence] Step Duration25                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 24|
|  301 | 3~0 | [Step Sequence] Step Duration26                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 25|
|      | 7~4 | [Step Sequence] Step Duration27                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 26|
|  302 | 3~0 | [Step Sequence] Step Duration28                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 27|
|      | 7~4 | [Step Sequence] Step Duration29                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 28|
|  303 | 3~0 | [Step Sequence] Step Duration30                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 29|
|      | 7~4 | [Step Sequence] Step Duration31                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 30|
|  304 | 3~0 | [Step Sequence] Step Duration32                     | 00~09        | 1/32~1/1           |11/12| 15|  0| 11| 31|
|      | 7~4 | [Step Sequence] Step Times1                         | 01~20        | 1~32               |11/12| 15|  0| 12|  0|
|  305 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Step Sequence] Step Times2                         | 01~20        | 1~32               |11/12| 15|  0| 12|  1|
|  306 | 5~0 | [Step Sequence] Step Times3                         | 01~20        | 1~32               |11/12| 15|  0| 12|  2|
|      | 7~6 | [Step Sequence] Step Times4                         | 01~20        | 1~32               |11/12| 15|  0| 12|  3|
|  307 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Step Sequence] Step Times5                         | 01~20        | 1~32               |11/12| 15|  0| 12|  4|
|  308 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Step Sequence] Step Times6                         | 01~20        | 1~32               |11/12| 15|  0| 12|  5|
|  309 | 5~0 | [Step Sequence] Step Times7                         | 01~20        | 1~32               |11/12| 15|  0| 12|  6|
|      | 7~6 | [Step Sequence] Step Times8                         | 01~20        | 1~32               |11/12| 15|  0| 12|  7|
|  310 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Step Sequence] Step Times9                         | 01~20        | 1~32               |11/12| 15|  0| 12|  8|
|  311 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Step Sequence] Step Times10                        | 01~20        | 1~32               |11/12| 15|  0| 12|  9|
|  312 | 5~0 | [Step Sequence] Step Times11                        | 01~20        | 1~32               |11/12| 15|  0| 12| 10|
|      | 7~6 | [Step Sequence] Step Times12                        | 01~20        | 1~32               |11/12| 15|  0| 12| 11|
|  313 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Step Sequence] Step Times13                        | 01~20        | 1~32               |11/12| 15|  0| 12| 12|
|  314 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Step Sequence] Step Times14                        | 01~20        | 1~32               |11/12| 15|  0| 12| 13|
|  315 | 5~0 | [Step Sequence] Step Times15                        | 01~20        | 1~32               |11/12| 15|  0| 12| 14|
|      | 7~6 | [Step Sequence] Step Times16                        | 01~20        | 1~32               |11/12| 15|  0| 12| 15|
|  316 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Step Sequence] Step Times17                        | 01~20        | 1~32               |11/12| 15|  0| 12| 16|
|  317 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Step Sequence] Step Times18                        | 01~20        | 1~32               |11/12| 15|  0| 12| 17|
|  318 | 5~0 | [Step Sequence] Step Times19                        | 01~20        | 1~32               |11/12| 15|  0| 12| 18|
|      | 7~6 | [Step Sequence] Step Times20                        | 01~20        | 1~32               |11/12| 15|  0| 12| 19|
|  319 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Step Sequence] Step Times21                        | 01~20        | 1~32               |11/12| 15|  0| 12| 20|
|  320 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Step Sequence] Step Times22                        | 01~20        | 1~32               |11/12| 15|  0| 12| 21|
|  321 | 5~0 | [Step Sequence] Step Times23                        | 01~20        | 1~32               |11/12| 15|  0| 12| 22|
|      | 7~6 | [Step Sequence] Step Times24                        | 01~20        | 1~32               |11/12| 15|  0| 12| 23|
|  322 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Step Sequence] Step Times25                        | 01~20        | 1~32               |11/12| 15|  0| 12| 24|
|  323 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Step Sequence] Step Times26                        | 01~20        | 1~32               |11/12| 15|  0| 12| 25|
|  324 | 5~0 | [Step Sequence] Step Times27                        | 01~20        | 1~32               |11/12| 15|  0| 12| 26|
|      | 7~6 | [Step Sequence] Step Times28                        | 01~20        | 1~32               |11/12| 15|  0| 12| 27|
|  325 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Step Sequence] Step Times29                        | 01~20        | 1~32               |11/12| 15|  0| 12| 28|
|  326 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Step Sequence] Step Times30                        | 01~20        | 1~32               |11/12| 15|  0| 12| 29|
|  327 | 5~0 | [Step Sequence] Step Times31                        | 01~20        | 1~32               |11/12| 15|  0| 12| 30|
|      | 7~6 | [Step Sequence] Step Times32                        | 01~20        | 1~32               |11/12| 15|  0| 12| 31|
|  328 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Step Sequence] Decay                               | 00~63        | 0~99               |11/12| 15|  0| 13|  0|
|  329 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|  330 |     | [Common Pitch] Pitch Slope                          | FF9C~00C8    | -1.00~+2.00        |11/12| 16|  0|  0|  0|
|  331 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [Common Pitch] Pitch Bend Ribbon                    | C4~3C        | -60~+60            |11/12| 16|  0|  1|  0|
|  332 | 6~0 | [Common Pitch] Pitch Bend JS(+X)                    | C4~3C        | -60~+60            |11/12| 16|  0|  2|  0|
|      | 7   | [Common Pitch] Pitch Bend JS(-X)                    | C4~3C        | -60~+60            |11/12| 16|  0|  3|  0|
|  333 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 6   | [Common Pitch] Portamento Switch                    | 00~01        | Off~On             |11/12| 16|  0|  4|  0|
|      | 7   | [Common Pitch] Portamento Fingered                  | 00~01        | Off~On             |11/12| 16|  0|  5|  0|
|  334 | 0   | [Common Pitch] Portamento Mode                      | 00~01        | Constant Rate~Const|11/12| 16|  0|  6|  0|
|      | 7~1 | [Common Pitch] Portamento Time Factor               | 00~7F        | 0~127              |11/12| 16|  0|  7|  0|
|  335 |     | [Common Pitch] Portamento Mod.Source                | 00~34        | Off~Tempo          |11/12| 16|  0|  8|  0|
|  336 |     | [Common Pitch] Portamento Mod.Intensity             | 81~7F        | -127~+127          |11/12| 16|  0|  9|  0|
|  337 | 2~0 | [Common Pitch] LFO Select                           | 00~04        | LFO1~Common LFO    |11/12| 16|  0| 10|  0|
|      | 7~3 | [Common Pitch] LFO Intensity                        | FF69~0097    | -48.00~+48.00      |11/12| 16|  0| 11|  0|
|  338 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Common Pitch] LFO JS(+Y) Intensity                 | FF69~0097    | -48.00~+48.00      |11/12| 16|  0| 12|  0|
|  339 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Common Pitch] LFO Int.Mod.Source                   | 00~34        | Off~Tempo          |11/12| 16|  0| 13|  0|
|  340 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Common Pitch] LFO Int.Mod.Intensity                | FF69~0097    | -48.00~+48.00      |11/12| 16|  0| 14|  0|
|  341 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|  342 | 4~0 | [OSC1 Pitch] Transpose                              | F4~0C        | -12~+12            |11/12| 17|  0|  0|  0|
|      | 7~5 | [OSC1 Pitch] Octave                                 | FE~02        | 32'~2'             |11/12| 17|  0|  1|  0|
|  343 |     | [OSC1 Pitch] Tune                                   | FB50~04B0    | -1200~+1200        |11/12| 17|  0|  2|  0|
|  344 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 6~4 | [OSC1 Pitch] EG Select                              | 00~04        | EG1 (Filter)~Amp EG|11/12| 17|  0|  3|  0|
|      | 7   | [OSC1 Pitch] EG Intensity                           | FF69~0097    | -48.00~+48.00      |11/12| 17|  0|  4|  0|
|  345 |     |                                                     |              |                    |     |   |   |   |   |
|  346 |     | [OSC1 Pitch] EG Int.Mod.Source                      | 00~34        | Off~Tempo          |11/12| 17|  0|  5|  0|
|  347 |     | [OSC1 Pitch] EG Int.Mod.Intensity                   | FF69~0097    | -48.00~+48.00      |11/12| 17|  0|  6|  0|
|  348 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC1 Pitch] Mod.1 Source                           | 00~34        | Off~Tempo          |11/12| 17|  0|  7|  0|
|  349 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC1 Pitch] Mod.2 Source                           | 00~34        | Off~Tempo          |11/12| 17|  0|  7|  1|
|  350 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC1 Pitch] Mod.1 Intensity                        | FF69~0097    | -48.00~+48.00      |11/12| 17|  0|  8|  0|
|  351 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [OSC1 Pitch] Mod.2 Intensity                        | FF69~0097    | -48.00~+48.00      |11/12| 17|  0|  8|  1|
|  352 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC1 Pitch] Mod.1 Int.Mod.Source                   | 00~34        | Off~Tempo          |11/12| 17|  0|  9|  0|
|  353 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC1 Pitch] Mod.2 Int.Mod.Source                   | 00~34        | Off~Tempo          |11/12| 17|  0|  9|  1|
|  354 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC1 Pitch] Mod.1 Int.Mod.Intensity                | FF69~0097    | -48.00~+48.00      |11/12| 17|  0| 10|  0|
|  355 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [OSC1 Pitch] Mod.2 Int.Mod.Intensity                | FF69~0097    | -48.00~+48.00      |11/12| 17|  0| 10|  1|
|  356 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|  357 | 4~0 | [OSC2 Pitch] Transpose                              | F4~0C        | -12~+12            |11/12| 18|  0|  0|  0|
|      | 7~5 | [OSC2 Pitch] Octave                                 | FE~02        | 32'~2'             |11/12| 18|  0|  1|  0|
|  358 |     | [OSC2 Pitch] Tune                                   | FB50~04B0    | -1200~+1200        |11/12| 18|  0|  2|  0|
|  359 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 6~4 | [OSC2 Pitch] EG Select                              | 00~04        | EG1 (Filter)~Amp EG|11/12| 18|  0|  3|  0|
|      | 7   | [OSC2 Pitch] EG Intensity                           | FF69~0097    | -48.00~+48.00      |11/12| 18|  0|  4|  0|
|  360 |     |                                                     |              |                    |     |   |   |   |   |
|  361 |     | [OSC2 Pitch] EG Int.Mod.Source                      | 00~34        | Off~Tempo          |11/12| 18|  0|  5|  0|
|  362 |     | [OSC2 Pitch] EG Int.Mod.Intensity                   | FF69~0097    | -48.00~+48.00      |11/12| 18|  0|  6|  0|
|  363 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC2 Pitch] Mod.1 Source                           | 00~34        | Off~Tempo          |11/12| 18|  0|  7|  0|
|  364 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC2 Pitch] Mod.2 Source                           | 00~34        | Off~Tempo          |11/12| 18|  0|  7|  1|
|  365 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC2 Pitch] Mod.1 Intensity                        | FF69~0097    | -48.00~+48.00      |11/12| 18|  0|  8|  0|
|  366 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [OSC2 Pitch] Mod.2 Intensity                        | FF69~0097    | -48.00~+48.00      |11/12| 18|  0|  8|  1|
|  367 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC2 Pitch] Mod.1 Int.Mod.Source                   | 00~34        | Off~Tempo          |11/12| 18|  0|  9|  0|
|  368 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC2 Pitch] Mod.2 Int.Mod.Source                   | 00~34        | Off~Tempo          |11/12| 18|  0|  9|  1|
|  369 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC2 Pitch] Mod.1 Int.Mod.Intensity                | FF69~0097    | -48.00~+48.00      |11/12| 18|  0| 10|  0|
|  370 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [OSC2 Pitch] Mod.2 Int.Mod.Intensity                | FF69~0097    | -48.00~+48.00      |11/12| 18|  0| 10|  1|
|  371 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|  372 | 2~0 | [OSC1] Waveform                                     | 00~07        | Saw~Square/Triangle|11/12| 19|  0|  0|  0|
|      | 7~3 | [OSC1] Wave Morph                                   | 00~64        | 0~100              |11/12| 19|  0|  1|  0|
|  373 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [OSC1] Wave Morph Mod.Source                        | 00~34        | Off~Tempo          |11/12| 19|  0|  2|  0|
|  374 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [OSC1] Wave Morph Mod.Intensity                     | 9C~64        | -100~+100          |11/12| 19|  0|  3|  0|
|  375 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [OSC1] Pulse Width                                  | 00~64        | 0~100              |11/12| 19|  0|  4|  0|
|  376 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC1] Pulse Width Mod.Source                       | 00~34        | Off~Tempo          |11/12| 19|  0|  5|  0|
|  377 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC1] Pulse Width Mod.Intensity                    | 9C~64        | -100~+100          |11/12| 19|  0|  6|  0|
|  378 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [OSC1] Initial Phase                                | FF4C~00B5    | -180~RND           |11/12| 19|  0|  7|  0|
|  379 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [OSC1] Frequency Offset                             | 9C~64        | -10.0~+10.0        |11/12| 19|  0|  8|  0|
|  380 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 4~2 | [OSC2] Waveform                                     | 00~05        | Saw~Detuned Saw 2  |11/12| 19|  0|  9|  0|
|      | 7~5 | [OSC2] Wave Morph                                   | 00~64        | 0~100              |11/12| 19|  0| 10|  0|
|  381 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [OSC2] Wave Morph Mod.Source                        | 00~34        | Off~Tempo          |11/12| 19|  0| 11|  0|
|  382 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [OSC2] Wave Morph Mod.Intensity                     | 9C~64        | -100~+100          |11/12| 19|  0| 12|  0|
|  383 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [OSC2] Pulse Width                                  | 00~64        | 0~100              |11/12| 19|  0| 13|  0|
|  384 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC2] Pulse Width Mod.Source                       | 00~34        | Off~Tempo          |11/12| 19|  0| 14|  0|
|  385 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC2] Pulse Width Mod.Intensity                    | 9C~64        | -100~+100          |11/12| 19|  0| 15|  0|
|  386 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC2] Initial Phase                                | FF4C~00B5    | -180~RND           |11/12| 19|  0| 16|  0|
|  387 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [OSC2] Frequency Offset                             | 9C~64        | -10.0~+10.0        |11/12| 19|  0| 17|  0|
|  388 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [OSC2] FM Amount                                    | 00~64        | 0~100              |11/12| 19|  0| 18|  0|
|  389 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC2] FM Amount Mod.Source                         | 00~34        | Off~Tempo          |11/12| 19|  0| 19|  0|
|  390 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [OSC2] FM Amount Mod.Intensity                      | 9C~64        | -100~+100          |11/12| 19|  0| 20|  0|
|  391 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 3   | [OSC2] Sync                                         | 00~01        | Off~On             |11/12| 19|  0| 21|  0|
|      | 4   | [Sub OSC] Waveform                                  | 00~01        | Square~Triangle    |11/12| 19|  0| 22|  0|
|      | 6~5 | [Ring Modulator] Mode                               | 00~03        | Ring Mod.~Clip     |11/12| 19|  0| 23|  0|
|      | 7   | [Ring Modulator] Modulator                          | 00~01        | OSC1~Noise Generato|11/12| 19|  0| 24|  0|
|  392 | 0   | [Ring Modulator] Carrier                            | 00~01        | OSC2~Ext.Input     |11/12| 19|  0| 25|  0|
|      | 7~1 | [Noise Generator] Saturation                        | 00~63        | 0~99               |11/12| 19|  0| 26|  0|
|  393 | 6~0 | [Noise Generator] Cutoff                            | 00~63        | 0~99               |11/12| 19|  0| 27|  0|
|      | 7   | [OSC1] Level                                        | 00~63        | 0~99               |11/12| 19|  0| 28|  0|
|  394 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [OSC1] Level Mod.Source                             | 00~34        | Off~Tempo          |11/12| 19|  0| 29|  0|
|  395 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [OSC1] Level Mod.Intensity                          | 9D~63        | -99~+99            |11/12| 19|  0| 30|  0|
|  396 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 6   | [OSC1] Phase Invert                                 | 00~01        | Off~On             |11/12| 19|  0| 31|  0|
|      | 7   | [OSC1] Balance                                      | 00~63        | 0~99               |11/12| 19|  0| 32|  0|
|  397 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [OSC1] Balance Mod.Source                           | 00~34        | Off~Tempo          |11/12| 19|  0| 33|  0|
|  398 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [OSC1] Balance Mod.Intensity                        | 9D~63        | -99~+99            |11/12| 19|  0| 34|  0|
|  399 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [OSC2] Level                                        | 00~63        | 0~99               |11/12| 19|  0| 35|  0|
|  400 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [OSC2] Level Mod.Source                             | 00~34        | Off~Tempo          |11/12| 19|  0| 36|  0|
|  401 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [OSC2] Level Mod.Intensity                          | 9D~63        | -99~+99            |11/12| 19|  0| 37|  0|
|  402 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5   | [OSC2] Phase Invert                                 | 00~01        | Off~On             |11/12| 19|  0| 38|  0|
|      | 7~6 | [OSC2] Balance                                      | 00~63        | 0~99               |11/12| 19|  0| 39|  0|
|  403 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [OSC2] Balance Mod.Source                           | 00~34        | Off~Tempo          |11/12| 19|  0| 40|  0|
|  404 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [OSC2] Balance Mod.Intensity                        | 9D~63        | -99~+99            |11/12| 19|  0| 41|  0|
|  405 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Sub OSC] Level                                     | 00~63        | 0~99               |11/12| 19|  0| 42|  0|
|  406 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Sub OSC] Level Mod.Source                          | 00~34        | Off~Tempo          |11/12| 19|  0| 43|  0|
|  407 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Sub OSC] Level Mod.Intensity                       | 9D~63        | -99~+99            |11/12| 19|  0| 44|  0|
|  408 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 4   | [Sub OSC] Phase Invert                              | 00~01        | Off~On             |11/12| 19|  0| 45|  0|
|      | 7~5 | [Sub OSC] Balance                                   | 00~63        | 0~99               |11/12| 19|  0| 46|  0|
|  409 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Sub OSC] Balance Mod.Source                        | 00~34        | Off~Tempo          |11/12| 19|  0| 47|  0|
|  410 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Sub OSC] Balance Mod.Intensity                     | 9D~63        | -99~+99            |11/12| 19|  0| 48|  0|
|  411 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Ring Modulator] Level                              | 00~63        | 0~99               |11/12| 19|  0| 49|  0|
|  412 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Ring Modulator] Level Mod.Source                   | 00~34        | Off~Tempo          |11/12| 19|  0| 50|  0|
|  413 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Ring Modulator] Level Mod.Intensity                | 9D~63        | -99~+99            |11/12| 19|  0| 51|  0|
|  414 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 3   | [Ring Modulator] Phase Invert                       | 00~01        | Off~On             |11/12| 19|  0| 52|  0|
|      | 7~4 | [Ring Modulator] Balance                            | 00~63        | 0~99               |11/12| 19|  0| 53|  0|
|  415 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Ring Modulator] Balance Mod.Source                 | 00~34        | Off~Tempo          |11/12| 19|  0| 54|  0|
|  416 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Ring Modulator] Balance Mod.Intensity              | 9D~63        | -99~+99            |11/12| 19|  0| 55|  0|
|  417 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Noise Generator] Level                             | 00~63        | 0~99               |11/12| 19|  0| 56|  0|
|  418 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Noise Generator] Level Mod.Source                  | 00~34        | Off~Tempo          |11/12| 19|  0| 57|  0|
|  419 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Noise Generator] Level Mod.Intensity               | 9D~63        | -99~+99            |11/12| 19|  0| 58|  0|
|  420 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [Noise Generator] Phase Invert                      | 00~01        | Off~On             |11/12| 19|  0| 59|  0|
|      | 7~3 | [Noise Generator] Balance                           | 00~63        | 0~99               |11/12| 19|  0| 60|  0|
|  421 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Noise Generator] Balance Mod.Source                | 00~34        | Off~Tempo          |11/12| 19|  0| 61|  0|
|  422 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Noise Generator] Balance Mod.Intensity             | 9D~63        | -99~+99            |11/12| 19|  0| 62|  0|
|  423 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [OSC] Sub OSC/Audio In Select                       | 00~01        | Sub OSC~Ext.Input  |11/12| 19|  0| 63|  0|
|      | 5~3 | [OSC] External Input Select                         | 00~05        | Audio Input 1~S/PDI|11/12| 19|  0| 64|  0|
|      | 7~6 | [OSC] Edge                                          | 9C~64        | -100~+100          |11/12| 19|  0| 65|  0|
|  424 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|  425 | 1~0 | [Filter] Routing                                    | 00~03        | Single~4-Pole      |11/12| 20|  0|  0|  0|
|      | 2   | [Filter A] Bypass                                   | 00~01        | Off~On             |11/12| 20|  0|  1|  0|
|      | 5~3 | [Filter A] Filter Type                              | 00~04        | Low Pass~Multi Filt|11/12| 20|  0|  2|  0|
|      | 7~6 | [Filter A] Trim                                     | 00~63        | 0~99               |11/12| 20|  0|  3|  0|
|  426 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter A] Cutoff                                   | 00~63        | 0~99               |11/12| 20|  0|  4|  0|
|  427 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Filter A] Cutoff Fine                              | 9D~63        | -99~+99            |11/12| 20|  0|  5|  0|
|  428 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Filter A] Resonance                                | 00~63        | 0~99               |11/12| 20|  0|  6|  0|
|  429 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Filter A] Resonance Mod.Source                     | 00~34        | Off~Tempo          |11/12| 20|  0|  7|  0|
|  430 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Filter A] Resonance Mod.Intensity                  | 9D~63        | -99~+99            |11/12| 20|  0|  8|  0|
|  431 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Filter A] Output                                   | 00~63        | 0~99               |11/12| 20|  0|  9|  0|
|  432 | 1~0 |                                                     |              |                    |     |   |   |   |   |
