0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|   31 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO2] Frequency Mod.2 Source                       | 00~34        | Off~Tempo          |11/12|  7|  0| 16|  0|
|   32 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO2] Frequency Mod.2 Intensity                    | 9D~63        | -99~+99            |11/12|  7|  0| 17|  0|
|   33 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [LFO2] MIDI Sync                                    | 00~01        | Off~On             |11/12|  7|  0| 18|  0|
|      | 6~3 | [LFO2] MIDI Sync Base Note                          | 00~09        | 1/32~1/1           |11/12|  7|  0| 19|  0|
|      | 7   | [LFO2] MIDI Sync Times                              | 01~20        | 1~32               |11/12|  7|  0| 20|  0|
|   34 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|   35 | 4~0 | [LFO3] Waveform                                     | 00~11        | Triangle~Random6(Co|11/12|  8|  0|  0|  0|
|      | 7~5 | [LFO3] Start Phase                                  | DC~25        | -180~RND           |11/12|  8|  0|  1|  0|
|   36 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO3] Shape                                        | 9D~63        | -99~+99            |11/12|  8|  0|  2|  0|
|   37 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO3] Shape Mod.Source                             | 00~34        | Off~Tempo          |11/12|  8|  0|  3|  0|
|   38 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO3] Shape Mod.Intensity                          | 9D~63        | -99~+99            |11/12|  8|  0|  4|  0|
|   39 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO3] Frequency                                    | 00~63        | 0~99               |11/12|  8|  0|  5|  0|
|   40 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO3] Frequency Fine                               | 00~63        | 0~99               |11/12|  8|  0|  6|  0|
